id,label,description,url,x,y,weight,cluster
357,rahman (2009),"<table><tr><td>Authors:</td><td>rahman, a; vahter, m; smith, ah; nermell, b; yunus, m; el arifeen, s; persson, la; ekstrom, ec</td></tr><tr><td>Title:</td><td>arsenic exposure during pregnancy and size at birth: a prospective cohort study in bangladesh</td></tr><tr><td>Source:</td><td>american journal of epidemiology</td></tr><tr><td>Issue:</td><td>3</td></tr><tr><td>Pages:</td><td>304-312</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1016/j.envint.2008.10.004,1.2421,-0.0376,1,1
358,avani (2009),"<table><tr><td>Authors:</td><td>avani, g; rao, mv</td></tr><tr><td>Title:</td><td>in vitro genotoxicity assays to evaluate the role of vitamin a on arsenic in human lymphocytes</td></tr><tr><td>Source:</td><td>ecotoxicology and environmental safety</td></tr><tr><td>Volume:</td><td>72</td></tr><tr><td>Issue:</td><td>2</td></tr><tr><td>Pages:</td><td>635-638</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1007/s00254-008-1319-8,1.0408,0.2495,1,1
359,hoque (2009),"<table><tr><td>Authors:</td><td>hoque, ma; khan, aa; shamsudduha, m; hossain, ms; islam, t; chowdhury, sh</td></tr><tr><td>Title:</td><td>near surface lithology and spatial variation of arsenic in the shallow groundwater: southeastern bangladesh</td></tr><tr><td>Source:</td><td>environmental geology</td></tr><tr><td>Volume:</td><td>56</td></tr><tr><td>Issue:</td><td>8</td></tr><tr><td>Pages:</td><td>1687-1695</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1021/es803143z,-0.7606,-0.3795,1,2
360,pilsner (2009),"<table><tr><td>Authors:</td><td>pilsner, jr; liu, xh; ahsan, h; ilievski, v; slavkovich, v; levy, d; factor-litvak, p; graziano, jh; gamble, mv</td></tr><tr><td>Title:</td><td>folate deficiency, hyperhomocysteinemia, low urinary creatinine, and hypomethylation of leukocyte dna are risk factors for arsenic-induced skin lesions</td></tr><tr><td>Source:</td><td>environmental health perspectives</td></tr><tr><td>Issue:</td><td>2</td></tr><tr><td>Pages:</td><td>254-260</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1007/s11104-008-9786-y,1.2849,0.0516,1,1
361,tofail (2009),"<table><tr><td>Authors:</td><td>tofail, f; vahter, m; hamadani, jd; nermell, b; huda, sn; yunus, m; rahman, m; grantham-mcgregor, sm</td></tr><tr><td>Title:</td><td>effect of arsenic exposure during pregnancy on infant development at 7 months in rural matlab, bangladesh</td></tr><tr><td>Source:</td><td>environmental health perspectives</td></tr><tr><td>Issue:</td><td>2</td></tr><tr><td>Pages:</td><td>288-293</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1016/j.watres.2009.01.006,1.2747,-0.1123,1,1
364,tauhid-ur (2009),"<table><tr><td>Authors:</td><td>tauhid-ur, rm; akira, m; udo, k; ishibashi, y</td></tr><tr><td>Title:</td><td>geochemical evidence of arsenic transport in shallow ground water, bangladesh</td></tr><tr><td>Source:</td><td>advances in water resources and hydraulic engineering, vols 1-6</td></tr><tr><td>Pages:</td><td>769-774</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1016/j.toxlet.2009.01.001,-1.0099,-0.2846,1,2
365,ahsan (2009),"<table><tr><td>Authors:</td><td>ahsan, da; delvalls, ta; blasco, j</td></tr><tr><td>Title:</td><td>distribution of arsenic and trace metals in the floodplain agricultural soil of bangladesh</td></tr><tr><td>Source:</td><td>bulletin of environmental contamination and toxicology</td></tr><tr><td>Volume:</td><td>82</td></tr><tr><td>Issue:</td><td>1</td></tr><tr><td>Pages:</td><td>11-15</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1021/es802794w,-0.2102,0.2937,1,3
366,bhattacharya (2009),"<table><tr><td>Authors:</td><td>bhattacharya, p; hasan, ma; sracek, o; smith, e; ahmed, km; von bromssen, m; huq, smi; naidu, r</td></tr><tr><td>Title:</td><td>groundwater chemistry and arsenic mobilization in the holocene flood plains in south-central bangladesh</td></tr><tr><td>Source:</td><td>environmental geochemistry and health</td></tr><tr><td>Volume:</td><td>31</td></tr><tr><td>Pages:</td><td>23-43</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1007/s00128-008-9621-4,-0.8355,-0.2657,1,2
367,arora (2009),"<table><tr><td>Authors:</td><td>arora, m; megharaj, m; naidu, r</td></tr><tr><td>Title:</td><td>arsenic testing field kits: some considerations and recommendations</td></tr><tr><td>Source:</td><td>environmental geochemistry and health</td></tr><tr><td>Volume:</td><td>31</td></tr><tr><td>Pages:</td><td>45-48</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1289/ehp.11886,-0.031,-0.1705,1,2
368,naidu (2009),"<table><tr><td>Authors:</td><td>naidu, r; smith, e; huq, smi; owens, g</td></tr><tr><td>Title:</td><td>sorption and bioavailability of arsenic in selected bangladesh soils</td></tr><tr><td>Source:</td><td>environmental geochemistry and health</td></tr><tr><td>Volume:</td><td>31</td></tr><tr><td>Pages:</td><td>61-68</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1289/ehp.11251,-0.9055,0.2543,1,3
369,zahid (2009),"<table><tr><td>Authors:</td><td>zahid, a; hassan, mq; breit, gn; balke, kd; flegr, m</td></tr><tr><td>Title:</td><td>accumulation of iron and arsenic in the chandina alluvium of the lower delta plain, southeastern bangladesh</td></tr><tr><td>Source:</td><td>environmental geochemistry and health</td></tr><tr><td>Volume:</td><td>31</td></tr><tr><td>Pages:</td><td>69-84</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1021/es802612a,-1.0028,-0.2141,1,2
370,rahman (2009),"<table><tr><td>Authors:</td><td>rahman, mm; chen, zl; naidu, r</td></tr><tr><td>Title:</td><td>extraction of arsenic species in soils using microwave-assisted extraction detected by ion chromatography coupled to inductively coupled plasma mass spectrometry</td></tr><tr><td>Source:</td><td>environmental geochemistry and health</td></tr><tr><td>Volume:</td><td>31</td></tr><tr><td>Pages:</td><td>93-102</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1093/aje/kwn332,0.321,0.4903,1,3
371,rahman (2009),"<table><tr><td>Authors:</td><td>rahman, mm; owens, g; naidu, r</td></tr><tr><td>Title:</td><td>arsenic levels in rice grain and assessment of daily dietary intake of arsenic from rice in arsenic-contaminated regions of bangladesh-implications to groundwater irrigation</td></tr><tr><td>Source:</td><td>environmental geochemistry and health</td></tr><tr><td>Volume:</td><td>31</td></tr><tr><td>Pages:</td><td>179-187</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1016/j.ecoenv.2008.03.011,-0.1215,0.3396,1,3
372,khan (2009),"<table><tr><td>Authors:</td><td>khan, ni; owens, g; bruce, d; naidu, r</td></tr><tr><td>Title:</td><td>an effective dietary survey framework for the assessment of total dietary arsenic intake in bangladesh: part-a-ffq design</td></tr><tr><td>Source:</td><td>environmental geochemistry and health</td></tr><tr><td>Volume:</td><td>31</td></tr><tr><td>Pages:</td><td>207-220</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1007/s00254-008-1267-3,0.012,0.3489,1,3
373,khan (2009),"<table><tr><td>Authors:</td><td>khan, ni; bruce, d; naidu, r; owens, g</td></tr><tr><td>Title:</td><td>implementation of food frequency questionnaire for the assessment of total dietary arsenic intake in bangladesh: part b, preliminary findings</td></tr><tr><td>Source:</td><td>environmental geochemistry and health</td></tr><tr><td>Volume:</td><td>31</td></tr><tr><td>Pages:</td><td>221-238</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1289/ehp.11872,0.4433,0.0028,1,1
374,heck (2009),"<table><tr><td>Authors:</td><td>heck, je; nieves, jw; chen, y; parvez, f; brandt-rauf, pw; graziano, jh; slavkovich, v; howe, gr; ahsan, h</td></tr><tr><td>Title:</td><td>dietary intake of methionine, cysteine, and protein and urinary arsenic excretion in bangladesh</td></tr><tr><td>Source:</td><td>environmental health perspectives</td></tr><tr><td>Issue:</td><td>1</td></tr><tr><td>Pages:</td><td>99-104</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1289/ehp.11670,1.1195,0.0204,1,1
375,salim (2009),"<table><tr><td>Authors:</td><td>salim, naa; wood, ak; yusof, am; hamzah, ms; elias, ms; abd rahman, s</td></tr><tr><td>Title:</td><td>a study of arsenic and chromium contamination in sediments of freshwater bodies</td></tr><tr><td>Source:</td><td>fresenius environmental bulletin</td></tr><tr><td>Volume:</td><td>18</td></tr><tr><td>Issue:</td><td>9</td></tr><tr><td>Pages:</td><td>1618-1623</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",,0.1977,-0.2033,1,4
376,sultana (2009),"<table><tr><td>Authors:</td><td>sultana, f</td></tr><tr><td>Title:</td><td>fluid lives: subjectivities, gender and water in rural bangladesh</td></tr><tr><td>Source:</td><td>gender place and culture</td></tr><tr><td>Volume:</td><td>16</td></tr><tr><td>Issue:</td><td>4</td></tr><tr><td>Pages:</td><td>427-444</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",,0.1932,-0.6259,1,4
377,norton (2009),"<table><tr><td>Authors:</td><td>norton, dm; rahman, m; shane, al; hossain, z; kulick, rm; bhuiyan, mi; wahed, ma; yunus, m; islam, ms; breiman, rf; henderson, a; keswick, bh; luby, sp</td></tr><tr><td>Title:</td><td>flocculant-disinfectant point-of-use water treatment for reducing arsenic exposure in rural bangladesh</td></tr><tr><td>Source:</td><td>international journal of environmental health research</td></tr><tr><td>Volume:</td><td>19</td></tr><tr><td>Issue:</td><td>1</td></tr><tr><td>Pages:</td><td>17-29</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",,0.3619,-0.2793,1,4
378,pal (2009),"<table><tr><td>Authors:</td><td>pal, p; sen, m; manna, a; pal, j; pal, p; roy, s; roy, p</td></tr><tr><td>Title:</td><td>contamination of groundwater by arsenic: a review of occurrence, causes, impacts, remedies and membrane-based purification</td></tr><tr><td>Source:</td><td>journal of integrative environmental sciences</td></tr><tr><td>Volume:</td><td>6</td></tr><tr><td>Issue:</td><td>4</td></tr><tr><td>Pages:</td><td>295-316</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1007/s00128-008-9502-x,-0.3328,0.0722,1,2
379,rahman (2009),"<table><tr><td>Authors:</td><td>rahman, mh; al-muyeed, a</td></tr><tr><td>Title:</td><td>arsenic crisis of bangladesh and mitigation measures</td></tr><tr><td>Source:</td><td>journal of water supply research and technology-aqua</td></tr><tr><td>Volume:</td><td>58</td></tr><tr><td>Issue:</td><td>3</td></tr><tr><td>Pages:</td><td>228-245</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1007/s10653-008-9230-5,-0.9884,-0.0839,1,2
381,nahar (2009),"<table><tr><td>Authors:</td><td>nahar, n</td></tr><tr><td>Title:</td><td>causes and distribution of arsenic contamination in bangladesh: evidence from the literature</td></tr><tr><td>Source:</td><td>water policy</td></tr><tr><td>Volume:</td><td>11</td></tr><tr><td>Issue:</td><td>3</td></tr><tr><td>Pages:</td><td>362-378</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1007/s10653-008-9231-4,-0.3027,-0.0431,1,4
382,ohno (2009),"<table><tr><td>Authors:</td><td>ohno, k; matsuo, y; kimura, t; yanase, t; rahman, mh; magara, y; matsushita, t; matsui, y</td></tr><tr><td>Title:</td><td>effect of rice-cooking water to the daily arsenic intake in bangladesh: results of field surveys and rice-cooking experiments</td></tr><tr><td>Source:</td><td>water science and technology</td></tr><tr><td>Volume:</td><td>59</td></tr><tr><td>Issue:</td><td>2</td></tr><tr><td>Pages:</td><td>195-201</td></tr><tr><td>Year:</td><td>2009</td></tr></table>",http://dx.doi.org/10.1007/s10653-008-9229-y,-0.1708,0.3199,1,3
383,hossain (2008),"<table><tr><td>Authors:</td><td>hossain, mb; jahiruddin, m; panaullah, gm; loeppert, rh; islam, mr; duxbury, jm</td></tr><tr><td>Title:</td><td>spatial variability of arsenic concentration in soils and plants, and its relationship with iron, manganese and phosphorus</td></tr><tr><td>Source:</td><td>environmental pollution</td></tr><tr><td>Volume:</td><td>156</td></tr><tr><td>Issue:</td><td>3</td></tr><tr><td>Pages:</td><td>739-744</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1007/s10653-008-9226-1,-0.4286,0.3927,1,3
384,rowland (2008),"<table><tr><td>Authors:</td><td>rowland, hal; gault, ag; lythgoe, p; polya, da</td></tr><tr><td>Title:</td><td>geochemistry of aquifer sediments and arsenic-rich groundwaters from kandal province, cambodia</td></tr><tr><td>Source:</td><td>applied geochemistry</td></tr><tr><td>Volume:</td><td>23</td></tr><tr><td>Issue:</td><td>11</td></tr><tr><td>Pages:</td><td>3029-3046</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1007/s10653-008-9227-0,-0.8339,-0.1807,1,2
385,itai (2008),"<table><tr><td>Authors:</td><td>itai, t; masuda, h; seddique, aa; mitamura, m; maruoka, t; li, xd; kusakabe, m; dipak, bk; farooqi, a; yamanaka, t; nakaya, s; matsuda, j; ahmed, km</td></tr><tr><td>Title:</td><td>hydrological and geochemical constraints on the mechanism of formation of arsenic contaminated groundwater in sonargaon, bangladesh</td></tr><tr><td>Source:</td><td>applied geochemistry</td></tr><tr><td>Volume:</td><td>23</td></tr><tr><td>Issue:</td><td>11</td></tr><tr><td>Pages:</td><td>3155-3176</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1007/s10653-008-9238-x,-0.8187,-0.2644,1,2
386,akai (2008),"<table><tr><td>Authors:</td><td>akai, j; kanekiyo, a; hishida, n; ogawa, m; naganuma, t; fukuhara, h; anawar, hn</td></tr><tr><td>Title:</td><td>biogeochemical characterization of bacterial assemblages in relation to release of arsenic from south east asia (bangladesh) sediments</td></tr><tr><td>Source:</td><td>applied geochemistry</td></tr><tr><td>Volume:</td><td>23</td></tr><tr><td>Issue:</td><td>11</td></tr><tr><td>Pages:</td><td>3177-3186</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1007/s10653-008-9234-1,-1.1589,-0.2307,1,2
387,saunders (2008),"<table><tr><td>Authors:</td><td>saunders, ja; lee, mk; shamsudduha, m; dhakal, p; uddin, a; chowdury, mt; ahmed, km</td></tr><tr><td>Title:</td><td>geochemistry and mineralogy of arsenic in (natural) anaerobic groundwaters</td></tr><tr><td>Source:</td><td>applied geochemistry</td></tr><tr><td>Volume:</td><td>23</td></tr><tr><td>Issue:</td><td>11</td></tr><tr><td>Pages:</td><td>3205-3214</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1007/s10653-008-9232-3,-1.0398,-0.2425,1,2
388,van geen (2008),"<table><tr><td>Authors:</td><td>van geen, a; radloff, k; aziz, z; cheng, z; huq, mr; ahmed, km; weinman, b; goodbred, s; jung, hb; zheng, y; berg, m; trang, ptk; charlet, l; metral, j; tisserand, d; guillot, s; chakraborty, s; gajurel, ap; upreti, bn</td></tr><tr><td>Title:</td><td>comparison of arsenic concentrations in simultaneously-collected groundwater and aquifer particles from bangladesh, india, vietnam, and nepal</td></tr><tr><td>Source:</td><td>applied geochemistry</td></tr><tr><td>Volume:</td><td>23</td></tr><tr><td>Issue:</td><td>11</td></tr><tr><td>Pages:</td><td>3244-3251</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1289/ehp.11589,-0.6273,-0.3312,1,2
389,kurosawa (2008),"<table><tr><td>Authors:</td><td>kurosawa, k; egashira, k; tani, m; jahiruddin, m; moslehuddin, azm; rahman, zm</td></tr><tr><td>Title:</td><td>groundwater-soil-crop relationship with respect to arsenic contamination in farming villages of bangladesh - a preliminary study</td></tr><tr><td>Source:</td><td>environmental pollution</td></tr><tr><td>Volume:</td><td>156</td></tr><tr><td>Issue:</td><td>2</td></tr><tr><td>Pages:</td><td>563-565</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",,-0.9247,0.3454,1,3
390,weinman (2008),"<table><tr><td>Authors:</td><td>weinman, b; goodbred, sl; zheng, y; aziz, z; steckler, m; van geen, a; singhvi, ak; nagar, yc</td></tr><tr><td>Title:</td><td>contributions of floodplain stratigraphy and evolution to the spatial patterns of groundwater arsenic in araihazar, bangladesh</td></tr><tr><td>Source:</td><td>geological society of america bulletin</td></tr><tr><td>Volume:</td><td>120</td></tr><tr><td>Issue:</td><td>12-nov</td></tr><tr><td>Pages:</td><td>1567-1580</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1080/09663690903003942,-0.6026,-0.3497,1,2
391,ghosh (2008),"<table><tr><td>Authors:</td><td>ghosh, p; roy, c; das, nk; sengupta, sr</td></tr><tr><td>Title:</td><td>epidemiology and prevention of chronic arsenicosis: an indian perspective</td></tr><tr><td>Source:</td><td>indian journal of dermatology venereology & leprology</td></tr><tr><td>Volume:</td><td>74</td></tr><tr><td>Issue:</td><td>6</td></tr><tr><td>Pages:</td><td>582-593</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1080/09603120802272219,0.1717,0.1249,1,1
392,mostafa (2008),"<table><tr><td>Authors:</td><td>mostafa, mg; mcdonald, jc; cherry, nm</td></tr><tr><td>Title:</td><td>lung cancer and exposure to arsenic in rural bangladesh</td></tr><tr><td>Source:</td><td>occupational and environmental medicine</td></tr><tr><td>Volume:</td><td>65</td></tr><tr><td>Issue:</td><td>11</td></tr><tr><td>Pages:</td><td>765-768</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1080/19438150903185077,0.8293,-0.0692,1,1
393,bravin (2008),"<table><tr><td>Authors:</td><td>bravin, mn; travassac, f; le floch, m; hinsinger, p; garnier, jm</td></tr><tr><td>Title:</td><td>oxygen input controls the spatial and temporal dynamics of arsenic at the surface of a flooded paddy soil and in the rhizosphere of lowland rice (oryza sativa l.): a microcosm study</td></tr><tr><td>Source:</td><td>plant and soil</td></tr><tr><td>Volume:</td><td>312</td></tr><tr><td>Issue:</td><td>2-jan</td></tr><tr><td>Pages:</td><td>207-218</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.2166/aqua.2009.031,-0.9238,0.4921,1,3
394,zablotska (2008),"<table><tr><td>Authors:</td><td>zablotska, lb; chen, y; graziano, jh; parvez, f; van, ga; howe, gr; ahsan, h</td></tr><tr><td>Title:</td><td>protective effects of b vitamins and antioxidants on the risk of arsenic-related skin lesions in bangladesh (vol 116, pg 1056, 2008)</td></tr><tr><td>Source:</td><td>environmental health perspectives</td></tr><tr><td>Volume:</td><td>116</td></tr><tr><td>Issue:</td><td>10</td></tr><tr><td>Pages:</td><td>a421-a421</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",,1.3013,0.2141,1,1
395,karim (2008),"<table><tr><td>Authors:</td><td>karim, ra; hossain, sm; miah, mmh; nehar, k; mubin, msh</td></tr><tr><td>Title:</td><td>arsenic and heavy metal concentrations in surface soils and vegetables of feni district in bangladesh</td></tr><tr><td>Source:</td><td>environmental monitoring and assessment</td></tr><tr><td>Issue:</td><td>3-jan</td></tr><tr><td>Pages:</td><td>417-425</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.2166/wp.2009.045,-0.1317,0.5507,1,3
397,jonsson (2008),"<table><tr><td>Authors:</td><td>jonsson, j; sherman, dm</td></tr><tr><td>Title:</td><td>sorption of as(iii) and as(v) to siderite, green rust (fougerite) and magnetite: implications for arsenic release in anoxic groundwaters</td></tr><tr><td>Source:</td><td>chemical geology</td></tr><tr><td>Issue:</td><td>2-jan</td></tr><tr><td>Pages:</td><td>173-181</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.2166/wst.2009.844,-1.065,-0.0154,1,2
398,nemade (2008),"<table><tr><td>Authors:</td><td>nemade, p; kadam, am; shankar, hs</td></tr><tr><td>Title:</td><td>arsenic and iron removal from water using constructed soil filter - a novel approach</td></tr><tr><td>Source:</td><td>asia-pacific journal of chemical engineering</td></tr><tr><td>Volume:</td><td>3</td></tr><tr><td>Issue:</td><td>5</td></tr><tr><td>Pages:</td><td>497-502</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1016/j.envpol.2008.06.015,-1.0675,0.1326,1,2
399,hug (2008),"<table><tr><td>Authors:</td><td>hug, sj; leupin, ox; berg, m</td></tr><tr><td>Title:</td><td>bangladesh and vietnam: different groundwater compositions require different approaches to arsenic mitigation</td></tr><tr><td>Source:</td><td>environmental science & technology</td></tr><tr><td>Volume:</td><td>42</td></tr><tr><td>Issue:</td><td>17</td></tr><tr><td>Pages:</td><td>6318-6323</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1016/j.apgeochem.2008.06.011,-0.6696,-0.1093,1,2
400,zablotska (2008),"<table><tr><td>Authors:</td><td>zablotska, lb; chen, y; graziano, jh; parvez, f; van geen, a; howe, gr; ahsan, h</td></tr><tr><td>Title:</td><td>protective effects of b vitamins and antioxidants on the risk of arsenic-related skin lesions in bangladesh</td></tr><tr><td>Source:</td><td>environmental health perspectives</td></tr><tr><td>Volume:</td><td>116</td></tr><tr><td>Issue:</td><td>8</td></tr><tr><td>Pages:</td><td>1056-1062</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1016/j.apgeochem.2008.06.017,1.0142,0.1335,1,1
401,mukherjee (2008),"<table><tr><td>Authors:</td><td>mukherjee, a; von bromssen, m; scanlon, br; bhattacharya, p; fryar, ae; hasan, ma; ahmed, km; chatterjee, d; jacks, g; sracek, o</td></tr><tr><td>Title:</td><td>hydrogeochemical comparison and effects of overlapping redox zones on groundwater arsenic near the western (bhagirathi sub-basin, india) and eastern (meghna sub-basin, bangladesh) margins of the bengal basin</td></tr><tr><td>Source:</td><td>journal of contaminant hydrology</td></tr><tr><td>Issue:</td><td>4-jan</td></tr><tr><td>Pages:</td><td>31-48</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1016/j.apgeochem.2008.06.018,-0.9694,-0.3245,1,2
402,dhar (2008),"<table><tr><td>Authors:</td><td>dhar, rk; zheng, y; stute, m; van geen, a; cheng, z; shanewaz, m; shamsudduha, m; hoque, ma; rahman, mw; ahmed, km</td></tr><tr><td>Title:</td><td>temporal variability of groundwater chemistry in shallow and deep aquifers of araihazar, bangladesh</td></tr><tr><td>Source:</td><td>journal of contaminant hydrology</td></tr><tr><td>Issue:</td><td>4-jan</td></tr><tr><td>Pages:</td><td>97-111</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1016/j.apgeochem.2008.07.002,-0.2443,-0.2503,1,2
403,shamsudduha (2008),"<table><tr><td>Authors:</td><td>shamsudduha, m; uddin, a; saunders, ja; lee, mk</td></tr><tr><td>Title:</td><td>quaternary stratigraphy, sediment characteristics and geochemistry of arsenic-contaminated alluvial aquifers in the ganges-brahmaputra floodplain in central bangladesh</td></tr><tr><td>Source:</td><td>journal of contaminant hydrology</td></tr><tr><td>Issue:</td><td>4-jan</td></tr><tr><td>Pages:</td><td>112-136</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1016/j.apgeochem.2008.07.005,-0.7887,-0.3482,1,2
404,von bromssen (2008),"<table><tr><td>Authors:</td><td>von bromssen, m; larsson, sh; bhattacharya, p; hasan, ma; ahmed, km; jakariya, m; sikder, ma; sracek, o; biven, a; dousova, b; patriarca, c; thunvik, r; jacks, g</td></tr><tr><td>Title:</td><td>geochemical characterisation of shallow aquifer sediments of matlab upazila, southeastern bangladesh - implications for targeting low-as aquifers</td></tr><tr><td>Source:</td><td>journal of contaminant hydrology</td></tr><tr><td>Issue:</td><td>4-jan</td></tr><tr><td>Pages:</td><td>137-149</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1016/j.envpol.2008.02.009,-0.6821,-0.3183,1,2
405,aziz (2008),"<table><tr><td>Authors:</td><td>aziz, z; van geen, a; stute, m; versteeg, r; horneman, a; zheng, y; goodbred, s; steckler, m; weinman, b; gavrieli, i; hoque, ma; shamsudduha, m; ahmed, km</td></tr><tr><td>Title:</td><td>impact of local recharge on arsenic concentrations in shallow aquifers inferred from the electromagnetic conductivity of soils in araihazar, bangladesh</td></tr><tr><td>Source:</td><td>water resources research</td></tr><tr><td>Volume:</td><td>44</td></tr><tr><td>Issue:</td><td>7</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1130/b26209.1,-0.3998,-0.3215,1,2
406,lindberg (2008),"<table><tr><td>Authors:</td><td>lindberg, al; rahman, m; persson, la; vahter, m</td></tr><tr><td>Title:</td><td>the risk of arsenic induced skin lesions in bangladeshi men and women is affected by arsenic metabolism and the age at first exposure</td></tr><tr><td>Source:</td><td>toxicology and applied pharmacology</td></tr><tr><td>Issue:</td><td>1</td></tr><tr><td>Pages:</td><td>9-16</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",,1.2553,0.0727,1,1
407,michael (2008),"<table><tr><td>Authors:</td><td>michael, ha; voss, ci</td></tr><tr><td>Title:</td><td>evaluation of the sustainability of deep groundwater as an arsenic-safe resource in the bengal basin</td></tr><tr><td>Source:</td><td>proceedings of the national academy of sciences of the united states of america</td></tr><tr><td>Issue:</td><td>25</td></tr><tr><td>Pages:</td><td>8531-8536</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1136/oem.2007.037895,-0.4645,-0.3342,1,2
408,nguyen (2008),"<table><tr><td>Authors:</td><td>nguyen, tv; vigneswaran, s; ngo, hh; kandasamy, j; choi, hc</td></tr><tr><td>Title:</td><td>arsenic removal by photo-catalysis hybrid system</td></tr><tr><td>Source:</td><td>separation and purification technology</td></tr><tr><td>Volume:</td><td>61</td></tr><tr><td>Issue:</td><td>1</td></tr><tr><td>Pages:</td><td>44-50</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1007/s11104-007-9532-x,-0.8016,0.2101,1,2
409,zavala (2008),"<table><tr><td>Authors:</td><td>zavala, yj; duxbury, jm</td></tr><tr><td>Title:</td><td>arsenic in rice: i. estimating normal levels of total arsenic in rice grain</td></tr><tr><td>Source:</td><td>environmental science & technology</td></tr><tr><td>Volume:</td><td>42</td></tr><tr><td>Issue:</td><td>10</td></tr><tr><td>Pages:</td><td>3856-3860</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",,-0.3798,0.5582,1,3
410,zahid (2008),"<table><tr><td>Authors:</td><td>zahid, a; hassan, mq; balke, kd; flegr, m; clark, dw</td></tr><tr><td>Title:</td><td>groundwater chemistry and occurrence of arsenic in the meghna floodplain aquifer, southeastern bangladesh</td></tr><tr><td>Source:</td><td>environmental geology</td></tr><tr><td>Volume:</td><td>54</td></tr><tr><td>Issue:</td><td>6</td></tr><tr><td>Pages:</td><td>1247-1260</td></tr><tr><td>Year:</td><td>2008</td></tr></table>",http://dx.doi.org/10.1007/s10661-007-0050-3,-1.0262,-0.238,1,2
